beta,phi,theta,gamma,delta,gammaT,deltaT,eta,b,kappa,R0
0.574867910296889,1.865248075733776,0.12194192644953729,0.6793909776903068,0.6940491771567613,1.5442806271230802,0.6263770495336503,1.3733336801935607,1.3813801896502262,0.002678905626952959,1.2092360635784274
0.48981166483717964,2.361863844582345,0.15810825742594897,0.6809099969277158,0.7036826990271607,1.5294690417312087,0.5733587954081595,1.335741065857311,1.6612424405473283,0.002509215273607212,1.1893797303750775
0.42246987340622577,2.0097946226879717,0.39148672536325946,0.6762876323646244,0.6921946050251523,1.5159595423657448,0.5299793603438884,1.398147953934657,1.5636897478608414,0.00271640624802094,1.1270832137248439
0.5005946205509826,2.0161741427496307,0.3011449994891882,0.6703205489818937,0.6973255405426025,1.4762313766172155,0.636920592609793,1.387246861322162,1.5125256419696844,0.0024131578593902915,1.2562928614848996
0.5686272739747074,2.251748938060831,0.3049608962715914,0.6874795564833718,0.7231542006513725,1.4498239087243563,0.5292934970147908,1.428484803938307,1.3776452281303704,0.0024938346030268198,1.3791615175078213
0.45892092292080633,2.028119764029281,0.36915617816802115,0.6779614210800888,0.7211473345421254,1.479716727307532,0.5267082823831588,1.4574121613077198,1.6302576392280868,0.002562100876215846,1.117484473775536
0.5185123692417983,1.7562111960721665,0.2991443024867525,0.6952820340210261,0.7241655649393797,1.4836852015717885,0.5315453697647899,1.3328218681191404,1.1651048697955906,0.002596867591352202,1.2892514766223462
0.3726613743859343,2.0212228421224276,0.1993188111325726,0.6912011026702821,0.7237304068710655,1.5343769549322315,0.5573216038104147,1.4626537250162412,1.3969571959286928,0.002463101657169561,1.1451048034658613
0.4855135311733465,1.8172738680398322,0.3627084219437092,0.7209692949564196,0.7015179045367985,1.462923952292185,0.5392094608992338,1.4541810041715701,1.3682299731910228,0.0023023909088146564,1.1768159862492762
0.3536909717216622,2.1008271477430824,0.39665943504932033,0.6883207975031497,0.7294989456248779,1.5023072428093291,0.5359848843254149,1.4063090422591193,1.230422894326877,0.0023196822027132537,1.3700400123841403
0.42517276461701836,1.9993787417558484,0.3972597317279627,0.7337973394797493,0.7260528744148711,1.5246780567383393,0.5830823371708393,1.4282159236039345,1.368195224138908,0.002270470473278935,1.291936091776726
0.46545239948900413,1.8832579009559702,0.466860796210977,0.6721603527857611,0.7237844263290365,1.4276641622884196,0.6063928198423236,1.4049820082578808,1.6688090424011461,0.002574652924520585,1.1726558200088837
0.4117436740489211,1.9643371778567085,0.38259804270975295,0.679593781744906,0.7273735669335971,1.4753336195554583,0.5229163213055581,1.351324237212228,1.4445929183914326,0.0026870442083648718,1.179628483628794
0.5212370249442756,2.3552067996772235,0.2227963212411851,0.6751291890813348,0.7085984531318148,1.511735647795722,0.5936313876565545,1.3660218269790831,1.3214083282822742,0.002676429576108543,1.4801531712810512
0.44539657115354203,2.055444463947671,0.20417744836521645,0.6890021340426368,0.7005197058226913,1.503241726413835,0.6191557666100562,1.4239242149873945,1.0996870943527668,0.002293779516941868,1.5094181078735849
0.38148369265254584,2.127636526706861,0.2246032720770066,0.7314366689569627,0.7220457592854896,1.4987241139030083,0.5305981396120042,1.4535528289802992,1.4458701325225642,0.002370800398375529,1.1496152224909597
0.5129023352207149,2.447639212233596,0.14836372868716718,0.6765594297420854,0.7054057092213382,1.4616457264288327,0.5201548830028624,1.4331190984686837,1.25676329723401,0.0024619702198232216,1.4411873532151285
0.561050169999944,1.7625858336038651,0.3101852798511585,0.6700752917385349,0.7216901681472857,1.5511622713995168,0.5973543957099319,1.3323311414675165,1.4129361728542484,0.0026089708830307552,1.2106182472958633
0.3777310326695442,2.067126820489065,0.2875416078887259,0.7222915608027639,0.7203116660043597,1.4644167935545556,0.6041120924912393,1.4536935680763174,1.4535860782798378,0.0027354162487356615,1.2189217159725918
0.4410178228770382,1.8073012921313054,0.3238030141675845,0.7245567792886868,0.7167189602460712,1.4311702771298587,0.5389928357750178,1.3735104449701805,1.1440221725947222,0.002513513683170701,1.307032051456059
0.4777241345634684,1.4132525271036427,0.442418970917662,0.6802478597041529,0.7148780337510009,1.5690089123393411,0.5807112876717001,1.4460528393692027,1.3506936511427163,0.002408241609988424,1.0691436312727354
0.5508351950917858,1.5499586572694823,0.18202984076800446,0.7221432854379527,0.7190562234700968,1.4255854334076865,0.5891548853963614,1.377038228518019,1.1348853220134973,0.0026298488939724245,1.2121686949013042
0.572672295239754,2.015002769889659,0.10396368327271194,0.7164810260046894,0.7101396080752214,1.521662375133019,0.5569958598650993,1.3805833543265857,1.343774491248373,0.0026003021181405838,1.232110719730116
0.559375353938667,2.0897236847802994,0.10023861083885034,0.691109028193634,0.7060505175410459,1.4998658285639248,0.5463307630345225,1.4420933824625486,1.5946446602496318,0.002396316018413442,1.0914931768912512
0.45143621257040645,1.7936830357254947,0.129336001953731,0.6804116107552932,0.7157467181080331,1.565573586248793,0.5269525709785521,1.4497113239181538,1.431173381648585,0.0023326957287810126,1.004426068748336
0.39715067854966035,2.0654113757312293,0.3894475946646805,0.7218254447945703,0.7289010167711725,1.5258457627915778,0.6288113985750824,1.3381489989059046,1.4044774990453384,0.002476278296283757,1.3350564260761177
0.4336759573360905,2.3440955058649413,0.32807958233232304,0.6835424133573348,0.7235226807675014,1.5403484810097143,0.5375154791474342,1.375178379526672,1.3468664846831,0.00229759786624151,1.396153021133493
0.41552518378477543,1.4832675480779725,0.4178547961177925,0.7177670942195691,0.713717030564944,1.5609698010236026,0.5833699860125781,1.3302288197545955,1.7418313037744722,0.0024575347863215334,0.91259037227757
0.5696208410349208,1.6038593007579909,0.19491326378068577,0.7082970386506058,0.7262999773646395,1.4399655418423933,0.5248415751513094,1.398432905041923,1.440276005489286,0.00260516769636112,1.0204691605930454
0.5597344813158269,1.833846020827768,0.3965750765657673,0.7024696570434608,0.7243259127462903,1.452747483162675,0.6000707723870874,1.3444970007333903,1.3132890117899514,0.0024093116074412444,1.3504762197132414
0.35883278452907685,1.7239777519466586,0.4451052160433804,0.6756444426908468,0.7205171784019718,1.502021777795162,0.5977031038664281,1.3403388957132893,1.5573928408300504,0.0024831335104070606,1.0823509978936459
0.5489671903837006,2.0537203261220127,0.29297830048576,0.6672030064952559,0.7070071789920329,1.5369628406083211,0.5422178562544286,1.3611845457886034,1.5493940959378145,0.0026779176555884383,1.189446392408238
0.4778179320832714,1.920569042661227,0.3510467116606111,0.6797778497985564,0.6940885041300207,1.483678037552163,0.6061376887168736,1.3896080869858463,1.163114889985509,0.002741512123371164,1.438608121159682
0.4289552181307226,2.138148596164421,0.44464041731351367,0.7112580716420586,0.7094026252490778,1.538381990455091,0.5406256876923144,1.3459342611019187,1.3487491009888237,0.0027440452891091508,1.3474013763306871
0.47537311263731674,2.147934522873256,0.3524587014149875,0.7304263259703293,0.7038549409043043,1.4619018689752556,0.5350194921903313,1.4454206512616947,1.707689343877416,0.0024813089849427344,1.1231109256259948
0.4540658974857069,1.747703253463842,0.30214517689620457,0.729499002310913,0.7005257604407767,1.5314538019732573,0.5964816423915327,1.441285048073468,1.1665052147054114,0.0025359274374941987,1.286434846235343
0.5508576888823882,1.5836269248779862,0.19115328333433718,0.6982931417364937,0.7172698924628397,1.5671655010501855,0.523907315991819,1.4371573947944367,1.6534778440162539,0.002433360048437802,0.9026713765685456
0.538669239586452,1.8663327745350542,0.12262484353718658,0.6929704222404398,0.6943495809913923,1.5405695488792845,0.635046035612002,1.37226770491867,1.2032707461034877,0.002526380163462212,1.3298562349716652
0.3946108437457587,2.4626647544576548,0.10134127854462714,0.7234797698501497,0.7085440584861984,1.4610862797452135,0.5577230531591922,1.3402396035759399,1.5484563737492076,0.002647449786945557,1.2076457034273569
0.473473570983624,2.0660733156523197,0.3896767440596596,0.6841508559628079,0.7042251247347643,1.5708100228570403,0.5236467974502593,1.3640383545669414,1.1121287700447253,0.002600380476804761,1.4815333536711774
0.44799203595379367,1.9155115326234369,0.32076588353017965,0.7190335327442735,0.6929969683773816,1.550068360066507,0.5637534519638866,1.3340462060415494,1.1607554412262513,0.0023768404004474485,1.3579049824917573
0.5182662923051975,1.7298800169114255,0.12153020690723013,0.7310751324890492,0.7251017889175564,1.4531729016732424,0.5456236814185977,1.4482916334889209,1.4055575045817532,0.0025600903254545605,1.0393359150834183
0.5361097338842228,1.7396933495209086,0.11641401868344596,0.7204992266382712,0.7155480018220841,1.4998784401942975,0.5498294399883599,1.4064638871758555,1.5583365571254864,0.00273421431472525,0.9802124680800761
0.547975618506316,1.4264679041445487,0.19698875704904398,0.6977746432119359,0.7057101346409569,1.5092653802246787,0.6370234069898725,1.4213917050721745,1.5520744630328378,0.0026798111280736826,0.9526620744124408
0.45580426136497404,1.6023614704292266,0.3899366645583262,0.6920995806143618,0.7012982941549271,1.5492410759232007,0.6030982789304108,1.3864266208360592,1.5188965685748494,0.0025310467413393782,1.0580981402663425
0.5516510968597139,2.169629418600583,0.13958042023144662,0.6684095435977603,0.7152507233812163,1.4629956158087587,0.5740146597865969,1.3559382559113824,1.2501892715527676,0.0027384995058178903,1.413915728003681
0.40972601485322224,1.544616861000424,0.3278468894523879,0.708460959915227,0.7290410969946534,1.4516638400661759,0.5656614670474083,1.3747218720236172,1.6756245528434404,0.002589654856027725,0.9185749291865413
0.515061274348991,2.0652207885412497,0.2265963160187627,0.6804972612094133,0.7230528911383202,1.4445636239950543,0.6340885007623583,1.391622637350733,1.6754345764020457,0.002267361168408146,1.1717814397208517
0.3933999348967336,1.5427610582433406,0.4323635399139797,0.7305272739427164,0.7073922094721347,1.4656164881587028,0.6092955597918481,1.360491744603651,1.0710134501558728,0.002489945072696234,1.3072649087581247
0.5264387862931471,2.1402989498341918,0.10838237135174375,0.6788073234008625,0.7235209782626479,1.4905840184004047,0.5882811968233437,1.4191900676243627,1.7017877807375974,0.0024388161514885725,1.0953219897647306
0.37162510700873097,1.8320708733983335,0.4540339024818192,0.6863564248057081,0.6971880253671358,1.565535146414768,0.5256018110048026,1.361722505807566,1.5194013214018196,0.0025973439169814814,1.0775447570282326
0.3572244558052625,1.5478651653107953,0.2420065967226401,0.7173543716995046,0.6983758059001217,1.566955955619924,0.6291485423129052,1.3743818787621953,1.1314939635995775,0.0026768871440862618,1.165567833383488
